config_id,features,train_r2,test_r2,n_train,n_test,n_features,rank
583,"ma_2w, ma_3w, ma_4w, seasonal, vol_2w",0.7322094410856798,0.5653695538338188,114,104,6,386
528,"change_2w, ma_2w, ma_4w, seasonal, vol_2w",0.7322094410856796,0.5653695538338186,114,104,6,387
765,"change_2w, ma_2w, ma_3w, ma_4w, seasonal, vol_2w",0.7322094410856796,0.5653695538338186,114,104,7,388
548,"change_2w, ma_3w, ma_4w, seasonal, vol_2w",0.7322094410856796,0.5653695538338184,114,104,6,389
497,"change_1w, ma_4w, seasonal, cos_seasonal, vol_2w",0.7324397587361642,0.5645088629588935,114,104,6,390
728,"change_1w, ma_2w, ma_4w, seasonal, cos_seasonal, vol_2w",0.7324397587361642,0.5645088629588935,114,104,7,391
602,"ma_2w, ma_4w, seasonal, cos_seasonal, vol_2w",0.7324397587361642,0.5645088629588931,114,104,6,392
353,"ma_3w, ma_4w, seasonal, vol_3w",0.722096505678937,0.5644975826322574,114,104,5,393
241,"change_1w, ma_4w, seasonal, vol_2w",0.732017428718325,0.563340228912262,114,104,5,394
458,"change_1w, ma_2w, ma_4w, seasonal, vol_2w",0.732017428718325,0.563340228912262,114,104,6,395
332,"ma_2w, ma_4w, seasonal, vol_2w",0.732017428718325,0.5633402289122617,114,104,5,396
498,"change_1w, ma_4w, seasonal, cos_seasonal, vol_3w",0.7276550018077581,0.5587038537825585,114,104,6,397
729,"change_1w, ma_2w, ma_4w, seasonal, cos_seasonal, vol_3w",0.7276550018077581,0.5587038537825585,114,104,7,398
603,"ma_2w, ma_4w, seasonal, cos_seasonal, vol_3w",0.7276550018077582,0.5587038537825577,114,104,6,399
758,"change_1w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7326041351715251,0.558451760606811,114,104,7,400
919,"change_1w, ma_2w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7326041351715251,0.558451760606811,114,104,8,401
835,"ma_2w, ma_4w, seasonal, cos_seasonal, vol_2w, vol_3w",0.7326041351715251,0.5584517606068105,114,104,7,402
744,"change_1w, ma_3w, ma_4w, seasonal, cos_seasonal, vol_3w",0.72774238535994,0.5583837188499762,114,104,7,403
